@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
499,'2019/09/19 10:18:46:381',6,-8750727,-7961468,-10925242,-7844802,-5937834,-5414066,-5676207,-5147550,-4689829,-5608876,-8685189,-7764088,-12437449,-11323084,-7176839,-6716033,-7236967,-5331033,-4808809,-5330779,-8355192,-7434607,-7632502,-7830396,-7040880,-7371902,-7302503,-5724503,-5526866,-5592146,-8486519,-7632240,-7303020,-7171435,-7633272,-7898759,-6974831,-5855830,-5658449,-5723473,-8881018,-8092276,-7697778,-7566450,-8291458,-8424073,-6842209,-6250331,-5987414,-6118230,-9539208,-8947584,-8487036,-8355452,-8685703,-8357508,-7302245,-6776676,-6513760,-6578527,-9341315,-8618105,-8486521,-8354678,-8487294,-8093824,-7236452,-7499882,-7500138,-7367784,-9142906,-8157043,-7631727,-7763829,-8751755,-7829621,-6841697,-6447454,-6447453,-6578271,-9208443,-8091506,-7565677,-7697779,-8489097,-7697777,-6644575,-6184283,-6184538,-6249307,-9602431,-8615796,-7827566,-7960183,-8685452,-8221552,-6775394,-6380894,-6315357,-6379868,0.2,?
500,'2019/09/19 10:18:46:413',6,-8947335,-8092284,-11318459,-8565699,-6396072,-5609647,-5742261,-5410724,-5214375,-5871790,-8816261,-7764088,-12502471,-11060170,-7046027,-6782341,-7237225,-5265498,-4613231,-5463651,-8420984,-7500399,-7698037,-7961467,-7106416,-7437183,-7433575,-5790039,-5526866,-5657682,-8683127,-7697777,-7368556,-7171435,-7698808,-8029830,-7040366,-5921366,-5658449,-5789009,-9077369,-8157813,-7763314,-7631986,-8356995,-8489609,-6907745,-6250331,-6052950,-6183766,-9735814,-9012864,-8552572,-8420987,-8816775,-8554116,-7367780,-6776676,-6513760,-6644062,-9537923,-8814712,-8617336,-8485750,-8618111,-8224896,-7367524,-7630954,-7565674,-7498855,-9273978,-8288114,-7762799,-7829110,-8817291,-8026229,-6907233,-6447454,-6578526,-6709342,-9536122,-8287857,-7696749,-7763316,-8685704,-7894128,-6709855,-6184283,-6249819,-6380379,-9929855,-8812404,-8089710,-8090999,-8816524,-8483440,-6972001,-6511966,-6446173,-6510940,0.2,?
501,'2019/09/19 10:18:46:449',6,-8947335,-8092284,-11318459,-8565699,-6396072,-5609647,-5742261,-5410724,-5214375,-5871790,-8816261,-7764088,-12502471,-11060170,-7046027,-6782341,-7237225,-5265498,-4613231,-5463651,-8420984,-7500399,-7698037,-7961467,-7106416,-7437183,-7433575,-5790039,-5526866,-5657682,-8683127,-7697777,-7368556,-7171435,-7698808,-8029830,-7040366,-5921366,-5658449,-5789009,-9077369,-8157813,-7763314,-7631986,-8356995,-8489609,-6907745,-6250331,-6052950,-6183766,-9735814,-9012864,-8552572,-8420987,-8816775,-8554116,-7367780,-6776676,-6513760,-6644062,-9537923,-8814712,-8617336,-8485750,-8618111,-8224896,-7367524,-7630954,-7565674,-7498855,-9273978,-8288114,-7762799,-7829110,-8817291,-8026229,-6907233,-6447454,-6578526,-6709342,-9536122,-8287857,-7696749,-7763316,-8685704,-7894128,-6709855,-6184283,-6249819,-6380379,-9929855,-8812404,-8089710,-8090999,-8816524,-8483440,-6972001,-6511966,-6446173,-6510940,0.2,?
502,'2019/09/19 10:18:46:483',6,-8947335,-8092284,-11449788,-9287623,-6789286,-5674411,-5611960,-5477803,-5412266,-6003889,-8750725,-7764088,-12108485,-10207175,-6719374,-6586505,-7107439,-5003869,-4352374,-5400175,-8486265,-7500143,-7698038,-7961468,-7106672,-7502718,-7433575,-5790040,-5526866,-5723218,-8682871,-7763312,-7368556,-7171435,-7698809,-8029831,-7040367,-5921367,-5658449,-5789009,-9077369,-8157813,-7828849,-7631986,-8291458,-8555145,-6907745,-6250330,-6052950,-6183766,-9801094,-9078400,-8552571,-8420987,-8816776,-8554116,-7367780,-6842212,-6579296,-6644062,-9537922,-8749176,-8683128,-8485750,-8618110,-8225152,-7367268,-7630954,-7565418,-7433320,-9339257,-8288114,-7762799,-7829109,-8882828,-8026229,-6907232,-6447453,-6512990,-6643806,-9470586,-8287857,-7696748,-7763060,-8620169,-7894128,-6709855,-6249818,-6249819,-6380379,-9929855,-8943475,-8024174,-8091255,-8882060,-8483696,-6972002,-6446430,-6446430,-6510940,0.2,?
503,'2019/09/19 10:18:46:516',6,-8947335,-8092284,-11449788,-9287623,-6789286,-5674411,-5611960,-5477803,-5412266,-6003889,-8750725,-7764088,-12108485,-10207175,-6719374,-6586505,-7107439,-5003869,-4352374,-5400175,-8486265,-7500143,-7698038,-7961468,-7106672,-7502718,-7433575,-5790040,-5526866,-5723218,-8682871,-7763312,-7368556,-7171435,-7698809,-8029831,-7040367,-5921367,-5658449,-5789009,-9077369,-8157813,-7828849,-7631986,-8291458,-8555145,-6907745,-6250330,-6052950,-6183766,-9801094,-9078400,-8552571,-8420987,-8816776,-8554116,-7367780,-6842212,-6579296,-6644062,-9537922,-8749176,-8683128,-8485750,-8618110,-8225152,-7367268,-7630954,-7565418,-7433320,-9339257,-8288114,-7762799,-7829109,-8882828,-8026229,-6907232,-6447453,-6512990,-6643806,-9470586,-8287857,-7696748,-7763060,-8620169,-7894128,-6709855,-6249818,-6249819,-6380379,-9929855,-8943475,-8024174,-8091255,-8882060,-8483696,-6972002,-6446430,-6446430,-6510940,0.2,?
504,'2019/09/19 10:18:46:549',6,-8947335,-8026748,-11646909,-10271691,-7313059,-5935525,-5677498,-5412785,-5478830,-6201782,-8816261,-7764088,-11517634,-9091522,-6195859,-6259856,-6781304,-4808807,-4223104,-5402747,-8486265,-7500399,-7698294,-7961467,-7106416,-7437182,-7433575,-5790040,-5592402,-5657682,-8748407,-7763057,-7303019,-7171435,-7698808,-8029831,-7040367,-5921366,-5658449,-5789009,-9142906,-8223348,-7763313,-7631986,-8356994,-8555146,-6907746,-6250331,-6052950,-6183766,-9801094,-9078400,-8618107,-8420988,-8751239,-8488580,-7367525,-6776676,-6579296,-6644063,-9537922,-8814712,-8617336,-8485750,-8683646,-8225152,-7367268,-7565418,-7500138,-7498600,-9404793,-8353651,-7762799,-7894645,-8882828,-8026229,-6907232,-6512990,-6512990,-6709343,-9470586,-8287857,-7696749,-7763060,-8620169,-7894128,-6709855,-6249818,-6315355,-6380379,-9864319,-8877940,-8089710,-8090999,-8816524,-8483695,-6972002,-6511966,-6446174,-6510941,0.2,?
505,'2019/09/19 10:18:46:583',6,-8947335,-8026748,-11646909,-10271691,-7313059,-5935525,-5677498,-5412785,-5478830,-6201782,-8816261,-7764088,-11517634,-9091522,-6195859,-6259856,-6781304,-4808807,-4223104,-5402747,-8486265,-7500399,-7698294,-7961467,-7106416,-7437182,-7433575,-5790040,-5592402,-5657682,-8748407,-7763057,-7303019,-7171435,-7698808,-8029831,-7040367,-5921366,-5658449,-5789009,-9142906,-8223348,-7763313,-7631986,-8356994,-8555146,-6907746,-6250331,-6052950,-6183766,-9801094,-9078400,-8618107,-8420988,-8751239,-8488580,-7367525,-6776676,-6579296,-6644063,-9537922,-8814712,-8617336,-8485750,-8683646,-8225152,-7367268,-7565418,-7500138,-7498600,-9404793,-8353651,-7762799,-7894645,-8882828,-8026229,-6907232,-6512990,-6512990,-6709343,-9470586,-8287857,-7696749,-7763060,-8620169,-7894128,-6709855,-6249818,-6315355,-6380379,-9864319,-8877940,-8089710,-8090999,-8816524,-8483695,-6972002,-6511966,-6446174,-6510941,0.2,?
506,'2019/09/19 10:18:46:615',6,-8881799,-8026748,-11778238,-11452623,-7967388,-6064281,-5872820,-5412786,-5478835,-6399162,-8816261,-7829624,-10926783,-7844799,-5739166,-6065306,-6520963,-4680050,-4290955,-5471114,-8420729,-7500399,-7698294,-7961468,-7106672,-7437438,-7368039,-5790039,-5592402,-5657682,-8617591,-7763057,-7303020,-7171435,-7698808,-8029831,-6974831,-5921367,-5658449,-5789009,-9077370,-8223348,-7763313,-7631986,-8356739,-8555146,-6907745,-6250331,-6052950,-6249302,-9801094,-9078399,-8617852,-8355452,-8816775,-8554116,-7433060,-6842212,-6579296,-6578527,-9537922,-8814712,-8617592,-8551286,-8683646,-8225152,-7367524,-7630954,-7565674,-7433064,-9273977,-8353650,-7828335,-7829365,-8882828,-8026229,-6907233,-6447454,-6512990,-6709342,-9470585,-8287857,-7696749,-7763060,-8619913,-7894128,-6710111,-6249563,-6315355,-6314843,-9929855,-8877940,-8089710,-8090999,-8816524,-8418160,-6972001,-6511966,-6511965,-6510940,0.2,?
507,'2019/09/19 10:18:46:649',6,-8881799,-8026748,-11778238,-11452623,-7967388,-6064281,-5872820,-5412786,-5478835,-6399162,-8816261,-7829624,-10926783,-7844799,-5739166,-6065306,-6520963,-4680050,-4290955,-5471114,-8420729,-7500399,-7698294,-7961468,-7106672,-7437438,-7368039,-5790039,-5592402,-5657682,-8617591,-7763057,-7303020,-7171435,-7698808,-8029831,-6974831,-5921367,-5658449,-5789009,-9077370,-8223348,-7763313,-7631986,-8356739,-8555146,-6907745,-6250331,-6052950,-6249302,-9801094,-9078399,-8617852,-8355452,-8816775,-8554116,-7433060,-6842212,-6579296,-6578527,-9537922,-8814712,-8617592,-8551286,-8683646,-8225152,-7367524,-7630954,-7565674,-7433064,-9273977,-8353650,-7828335,-7829365,-8882828,-8026229,-6907233,-6447454,-6512990,-6709342,-9470585,-8287857,-7696749,-7763060,-8619913,-7894128,-6710111,-6249563,-6315355,-6314843,-9929855,-8877940,-8089710,-8090999,-8816524,-8418160,-6972001,-6511966,-6511965,-6510940,0.2,?
508,'2019/09/19 10:18:46:682',6,-8947336,-8092540,-11909309,-12174288,-8293524,-6259088,-6067367,-5215152,-5479351,-6465471,-8881797,-7829624,-10598590,-7057596,-5479078,-5870242,-6326415,-4485502,-4293012,-5473170,-8486265,-7500399,-7698038,-7961468,-7106672,-7502718,-7433575,-5790039,-5526866,-5657682,-8683127,-7763313,-7303019,-7171435,-7698808,-8029830,-7040367,-5921366,-5658449,-5789009,-9011833,-8223348,-7828849,-7631986,-8356994,-8555146,-6907746,-6250331,-6052950,-6183766,-9801095,-9078400,-8552571,-8355452,-8751239,-8554116,-7367525,-6776676,-6579296,-6644063,-9472386,-8749177,-8617592,-8420214,-8618366,-8225152,-7367524,-7565418,-7565418,-7498600,-9339513,-8222578,-7762799,-7829109,-8817547,-8026229,-6907232,-6447454,-6512990,-6643807,-9536121,-8287858,-7696749,-7763060,-8620169,-7894128,-6709855,-6249818,-6250074,-6445915,-9864319,-8812404,-8024174,-8025463,-8816524,-8418160,-6972001,-6446430,-6446429,-6510941,0.2,?
